Designator,Mid X,Mid Y,Layer,Rotation
U4,-2451.52,-1738.49,TOP,315
R8,-4083.86,-2.47244,TOP,90
R5,-3985.43,-2.47244,TOP,90
R6,-3946.06,-2.47244,TOP,90
R7,-4024.8,-2.47244,TOP,90
U9,-3133.07,-335.433,TOP,90
U7,-3562.2,-38.189,TOP,180
X3,-3164.57,-32.2835,TOP,0
C122,-3227.84,-185.827,TOP,0
C124,-3101.29,89.7638,TOP,180
Q1,-3539.57,-522.047,TOP,270
R11,-3337.51,-237.008,TOP,180
R12,-3479.81,-256.693,TOP,0
R13,-3559.32,-257.61,TOP,135
R14,-3646.85,-219.008,TOP,270
C29,-3149.1,-185.827,TOP,0
C30,-2974.13,-255.906,TOP,0
C31,-2974.13,-177.165,TOP,0
C35,-3376.88,-79.5276,TOP,0
C36,-3276.77,119.008,TOP,90
C37,-3768.9,-189.764,TOP,270
R15,-3512.99,162.315,TOP,270
R16,-3394.88,162.315,TOP,270
R17,-3709.84,162.315,TOP,270
R21,-3761.53,78.7402,TOP,0
R214,-3761.53,-39.3701,TOP,0
R18,-3473.62,162.315,TOP,90
R19,-3434.25,162.315,TOP,90
R20,-3650.79,162.315,TOP,90
R22,-3376.88,-138.583,TOP,0
R23,-3611.42,162.315,TOP,90
C32,-3376.88,30.7087,TOP,0
C33,-3376.88,77.9528,TOP,180
C34,-3572.05,162.315,TOP,90
L2,-3229.53,115.354,TOP,90
R10,-3761.53,39.3701,TOP,180
R9,-3761.53,0,TOP,0
U10,-1973.4,-3266.59,TOP,0
U11,-1426.55,-3298.87,TOP,0
R27,-1648.49,-3458.32,TOP,180
LED1,-1689.54,-3554.12,TOP,90
Q2,-1683.64,-3259.51,TOP,0
R28,-1727.23,-3458.32,TOP,180
R29,-1727.23,-3399.27,TOP,180
R26,-1297.53,-3340.21,TOP,0
C38,-1571.43,-3273.28,TOP,270
C1,-1388.87,-3200.45,TOP,0
R25,-1415.64,-3438.64,TOP,0
R24,-1533.75,-3458.32,TOP,0
LED2,-1512.38,-3554.12,TOP,90
U34,1446.85,-2634.84,TOP,0
C82,1025.31,-2460.63,TOP,0
C81,-513.496,-1279.53,TOP,0
C98,1537.12,-2460.63,TOP,0
U37,243.701,-2318.76,TOP,90
C121,2025.87,-2440.94,TOP,0
LED6,-652.236,-3070.87,TOP,0
LED7,-652.236,-2933.07,TOP,0
LED8,-652.236,-2795.28,TOP,0
LED9,-335.386,-3070.87,TOP,0
LED10,-335.386,-2933.07,TOP,0
LED11,-335.386,-2795.28,TOP,0
LED12,-335.386,-2657.48,TOP,0
R115,-518.756,-3070.87,TOP,180
R116,-515.386,-2933.07,TOP,180
R117,-515.386,-2795.28,TOP,180
R118,-198.535,-3070.87,TOP,180
R119,-198.535,-2933.07,TOP,180
R120,-198.535,-2795.28,TOP,180
R121,-198.535,-2657.48,TOP,180
R122,2224.41,-3187.29,TOP,270
R123,728.346,-2636.11,TOP,270
R124,706.976,-2519.69,TOP,0
R125,1200.79,-3088.87,TOP,270
R114,728.346,-2734.54,TOP,270
R126,688.976,-2380.2,TOP,270
C79,469.496,-3090.55,TOP,0
C99,513.496,-3169.29,TOP,0
C100,237.906,-3169.29,TOP,0
C80,160.425,-3090.55,TOP,0
J4,-1085.43,-1258.66,TOP,90
J12,-2924.02,-3422.44,TOP,180
J18,-4012.99,-1641.34,TOP,90
U29,0,-652.976,TOP,0
L4,486.22,-826.772,TOP,0
D1,413.386,-433.071,TOP,0
U30,-568.896,-229.134,TOP,270
C53,-548.926,-103.937,TOP,0
C52,-468.501,-279.417,TOP,270
U31,-275.591,-1456.69,TOP,270
C56,-178.85,-1279.53,TOP,0
L3,27.7559,-1279.21,TOP,0
R86,-413.386,-1694.6,TOP,270
R87,-354.331,-1691.23,TOP,270
C57,59.0551,-1515.75,TOP,270
C58,196.85,-1515.75,TOP,270
C54,-255.906,-1085.62,TOP,270
C59,-393.701,-1085.62,TOP,270
R103,0,-1691.23,TOP,90
R104,-59.0551,-1691.23,TOP,270
C55,-277.276,-1673.23,TOP,0
R90,-433.071,-1340.27,TOP,270
C49,-102.362,-295.276,TOP,180
C50,-102.362,-433.071,TOP,180
C51,-102.362,-157.48,TOP,180
R92,157.48,-769.402,TOP,270
C60,137.795,-690.661,TOP,90
C61,98.4252,-805.402,TOP,90
C62,-195.165,-649.606,TOP,180
R93,-195.165,-708.661,TOP,180
R84,-195.165,-590.551,TOP,0
C63,80.4252,-531.496,TOP,180
R94,21.3701,-787.402,TOP,180
R95,21.3701,-826.772,TOP,0
C73,984.252,-539.37,TOP,90
+12V,866.142,-925.197,TOP,270
F2,1575.2,-570.866,TOP,180
R106,1218.79,-334.646,TOP,180
F2-FAIL,1237.53,-413.386,TOP,180
L6,1564.96,-1023.62,TOP,90
R109,1692.91,-312.016,TOP,90
R101,-313.276,-649.606,TOP,0
R108,-313.276,-708.661,TOP,180
Q3,781.226,118.11,TOP,90
D2,1318.9,148.74,TOP,270
R88,1318.9,20.8346,TOP,90
R89,1811.02,336.331,TOP,270
F1-FAIL,1811.02,450.126,TOP,270
R96,1514.06,295.276,TOP,180
R97,1514.06,236.22,TOP,0
48V_BD2,255.906,469.811,TOP,270
5V,255.906,174.535,TOP,270
R98,254.22,354.331,TOP,180
R99,254.22,295.276,TOP,0
C5,-2040.29,-2059.97,TOP,45
C6,-1995.15,-1449.74,TOP,135
C7,-2729.26,-2192,TOP,315
C8,-3058.14,-1863.12,TOP,315
C9,-1857.35,-1857.35,TOP,45
C10,-2782.55,-1345.54,TOP,225
C11,-2985.17,-1548.16,TOP,45
C12,-2867.06,-2054.2,TOP,315
C13,-2138.71,-1306.17,TOP,135
C14,-2546.33,-2355.25,TOP,135
C17,-2874.77,-1196.09,TOP,135
C123,-2803.57,-1153.12,TOP,135
R213,-1610.91,236.22,TOP,180
U6,-1145.47,-2842.52,TOP,270
C102,-1299.21,-2757.59,TOP,270
C23,-2574.38,-2386.25,TOP,135
C24,-1786.98,-1885.41,TOP,225
C28,-4083.86,76.2677,TOP,90
R30,-3829.64,173.228,TOP,0
R31,-3908.38,173.228,TOP,0
R32,-3750.9,-771.654,TOP,0
3.3V,-704.721,-261.417,TOP,0
5V,98.4252,-1692.91,TOP,0
C4,-2985.17,-1430.05,TOP,225
RESET,-3209.45,423.228,TOP,0
BOOT,-2733.36,421.155,TOP,0
R2,-2872.33,216.535,TOP,0
X1,-3049.21,-1299.21,TOP,0
C21,-2913.39,-1359.95,TOP,270
C22,-3246.35,-1299.21,TOP,0
R1,-1925.76,-3125.36,TOP,90
LED15,-3169.29,-2103.67,TOP,90
R194,-3169.29,-2226.09,TOP,270
LED16,-1338.58,351.701,TOP,270
R195,-1338.58,237.906,TOP,270
LED17,-1240.16,351.701,TOP,270
R196,-1240.16,237.906,TOP,270
R197,-1141.73,237.906,TOP,270
R198,-1043.31,237.906,TOP,270
R199,-944.882,237.906,TOP,270
R200,-846.457,237.906,TOP,270
LED18,-1141.73,351.701,TOP,270
LED19,-1043.31,351.701,TOP,270
LED20,-944.882,351.701,TOP,270
LED21,-846.457,351.701,TOP,270
L1,-3248.03,-1627.95,TOP,270
C18,-3326.77,-1635.54,TOP,270
C19,-3385.83,-1635.54,TOP,270
U5,-2269.09,-24.0157,TOP,270
R3,-2245.78,216.535,TOP,180
R4,-2283.46,-296.961,TOP,90
C101,-2106.3,-175.48,TOP,270
C20,-3326.77,-1553.43,TOP,270
C25,-4174.91,-2814.96,TOP,0
CW1,1200.79,-2992.13,TOP,0
DI_LATCH,2480.31,-2125.98,TOP,0
DI_SELECT,1732.28,-2283.46,TOP,0
LASER_ENABLE,2480.31,-2362.2,TOP,0
LASER_IS_ON,2224.41,-2972.44,TOP,0
LED13,1062.99,-1552.49,TOP,90
R192,1062.99,-1438.69,TOP,270
POWER,1122.05,509.181,TOP,270
R91,1220.47,533.181,TOP,270
R85,944.882,-99.5748,TOP,270
R105,944.882,-178.315,TOP,270
TASK_ACTIVE,2440.94,-2972.44,TOP,270
TRU_LASER_DISABLE,2421.26,-2677.17,TOP,270
P3,551.181,-1929.13,TOP,270
P4,551.181,-1771.65,TOP,270
P5,551.181,-1692.91,TOP,270
P6,551.181,-2007.87,TOP,270
P7,2086.61,-1614.17,TOP,0
PILOT_ON,2224.41,-2755.91,TOP,0
R33,-1143.42,-2657.48,TOP,0
R34,-2480.31,214.85,TOP,90
R35,-2440.94,214.85,TOP,90
R36,-2401.57,214.85,TOP,90
R37,-1732.28,218.22,TOP,90
C2,-2625.07,-1207.74,TOP,225
C3,-2306.17,-1158.4,TOP,135
U35,935.039,-2634.84,TOP,0
R38,143.165,-3228.35,TOP,180
U1,1938.98,-2621.06,TOP,0
